,GHO (CODE),GHO (DISPLAY),YEAR (DISPLAY),DIMENSION (TYPE),DIMENSION (CODE),Numeric,Value
978,WHOSIS_000007,Healthy life expectancy (HALE) at age 60 (years),2001,SEX,SEX_BTSX,12.74696,12.7 [12.3-13.3]
979,MORT_300,Distribution of causes of death among children aged < 5 years (%),2008,AGEGROUP,AGEGROUP_DAYS0-27,0.05991,0.1
980,MORT_300,Distribution of causes of death among children aged < 5 years (%),2001,AGEGROUP,AGEGROUP_DAYS0-27,9e-05,0
981,SA_0000001751,"Alcohol, average daily intake in grams among drinkers, three-year average",2015,SEX,SEX_MLE,43.68037,43.7 [22.3 - 66.5]
982,M_Est_tob_curr_std,Estimate of current tobacco use prevalence (%) (age-standardized rate),2015,SEX,SEX_BTSX,31.5,31.5 [26.2-36.8]
984,NUTRITION_ANAEMIA_NONPREGNANT_PREV,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2009,SEVERITY,SEVERITY_MODERATE,26.9,26.9 [20.5-33.3]
985,SDG_SH_DTH_RNCOM,"Number of deaths attributed to non-communicable diseases, by type of disease and sex",2015,SEX,SEX_MLE,582375.3,582375 [431219-717157]
986,PHE_HHAIR_PROP_POP_POLLUTING_FUELS,Proportion of population with primary reliance on polluting fuels and technologies for cooking (%),1993,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,85.9,85.9 [73.9 - 94.3]
987,TB_ret_nrel,"Previously treated  cases, excluding relapse",2017,,,90422.0,90422
988,SA_0000001414,"Alcohol, former drinkers (%), age-standardized",2006,SEX,SEX_MLE,8.44977,8.4 [7.6 - 9.4]
989,W7_rotation_A,Are the health warnings on cigarette packaging rotating?,2012,,,0.0,Yes
990,NUTRITION_ANT_WHZ_NE2,"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",2015,EDUCATIONLEVEL,EDUCATIONLEVEL_TOTL,2.4,2.4 [2.3-2.5]
991,NCD_BMI_PLUS1C,"Prevalence of overweight among children and adolescents, BMI > +1 standard deviations above the median (crude estimate) (%)",2022,SEX,SEX_FMLE,8.81279,8.8 [7.1-10.8]
992,ORALHEALTH_UNTREATEDCARIESDECIDUOUS,Prevalence of untreated caries of deciduous teeth in children 1-9 years (%),2019,,,43.33078,43.3
993,RSUD_630,Programmes readily available,2014,PROGRAMME,PROGRAMME_OUTREACH_SERVICES_INJECTINGDRUGUSERS,0.0,Yes
994,NCD_BMI_PLUS2C,"Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (crude estimate) (%)",2022,SEX,SEX_BTSX,2.71811,2.7 [2.0-3.5]
996,MORT_300,Distribution of causes of death among children aged < 5 years (%),2017,AGEGROUP,AGEGROUP_YEARS0-4,0.09223,0.1
997,SDGSUICIDE,Crude suicide rates (per 100 000 population),2019,SEX,SEX_BTSX,18.56,18.6
998,SA_0000001735,Alcohol content displayed on containers,2016,ALCOHOLTYPE,ALCOHOLTYPE_SA_SPIRITS,0.0,Yes
999,NUTRITION_ANAEMIA_REPRODUCTIVEAGE_PREV,Prevalence of anaemia in women of reproductive age (aged 15-49) (%),2007,SEVERITY,SEVERITY_SEVERE,3.5,3.5 [2.4-4.7]
1000,MORT_100,Number of deaths,2008,SEX,SEX_BTSX,53600.88711,53600.88711
1001,NCD_BMI_MINUS2C,"Prevalence of thinness among children and adolescents, BMI < -2 standard deviations below the median (crude estimate) (%)",2013,SEX,SEX_BTSX,26.38011,26.4 [25.3-27.5]
1002,NCD_CHOL_MEANHDL_C,"Mean HDL cholesterol, crude",1993,SEX,SEX_MLE,1.0,1.0 [0.9-1.1]
1003,NUTRITION_ANT_HAZ_NE2,"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",2017,WEALTHQUINTILE,WEALTHQUINTILE_WQ3,35.6,35.6
1004,MORTADO,Adolescent mortality rate (per 1 000 age specific cohort),2012,SEX,SEX_FMLE,3.38712,3.4 [2.9-3.9]
1005,MORT_100,Number of deaths,2002,SEX,SEX_BTSX,263169.3256,263169.3256
1006,PHE_HHAIR_PROP_POP_CATEGORY_FUELS,"Proportion of population with primary reliance on fuels and technologies for cooking, by fuel type (%)",2018,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,0.5,0.5 [0 - 2.1]
1007,NCD_CCS_PeakFlow,General availability of peak flow measurement at the primary health care level,2021,,,0.0,Yes
1008,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), by beverage type",1975,ALCOHOLTYPE,ALCOHOLTYPE_SA_WINE,0.0,0
1009,WSH_HYGIENE_BASIC,Population with basic handwashing facilities at home (%),2017,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,81.93005,82
1010,MORT_200,Deaths per 1 000 live births,2014,AGEGROUP,AGEGROUP_MONTHS1-59,0.22802,0.2
1011,SDG_SH_DTH_RNCOM,"Number of deaths attributed to non-communicable diseases, by type of disease and sex",2004,SEX,SEX_MLE,463988.3,463988 [340316-585767]
1012,NCD_BMI_PLUS1C,"Prevalence of overweight among children and adolescents, BMI > +1 standard deviations above the median (crude estimate) (%)",2014,SEX,SEX_BTSX,7.71844,7.7 [7.2-8.2]
1013,WHOSIS_000016,Mortality rate among children ages 5 to 9 years (per 1000 children aged 5),2020,SEX,SEX_MLE,2.07436,2.1 [1.8-2.4]
1014,NCD_BMI_PLUS2C,"Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (crude estimate) (%)",2005,SEX,SEX_MLE,1.11801,1.1 [0.9-1.4]
1015,NUTRITION_WA_2,"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",2015,SEX,SEX_FMLE,40.8,40.8 [39.8-41.7]
1016,NUTRITION_ANT_HAZ_NE2,"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",1992,SEX,SEX_MLE,70.5,70.5 [68.7-72.1]
1017,MORT_200,Deaths per 1 000 live births,2001,AGEGROUP,AGEGROUP_DAYS0-27,0.3495,0.3
1018,PHE_HHAIR_PROP_POP_CATEGORY_FUELS,"Proportion of population with primary reliance on fuels and technologies for cooking, by fuel type (%)",2001,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,0.1,0.1 [0 - 1.2]
1019,NUTRITION_ANT_WHZ_NE2,"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",2015,HOUSEHOLDWEALTH,HOUSEHOLDWEALTH_WEALTH_TOP80,2.6,2.6 [2.5-2.7]
1020,W5_top_side_B,Health warnings on other smoked tobacco packaging must be placed at the top of the principal display areas of the package,2012,,,0.0,Yes
1021,DEATHADO,Number of deaths among adolescents (10 to 19 years of age),2012,SEX,SEX_MLE,52992.0,52 992 [45 818-60 369]
1022,AIR_15,Household air pollution attributable DALYs,2019,SEX,SEX_BTSX,21730062.0,21 730 062 [11 928 146-31 831 166]
1023,WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),2011,SEX,SEX_MLE,57.85252,57.9 [57.1-58.6]
1024,NUTRITION_WH_3,"Severe wasted prevalence among children under 5 years of age   (% weight-for-height <-3 SD), survey-based estimates",2006,WEALTHTERCILE,WEALTHTERCILE_TOTL,6.8,6.8 [6.4-7.1]
1025,PHE_HHAIR_PROP_POP_CATEGORY_FUELS,"Proportion of population with primary reliance on fuels and technologies for cooking, by fuel type (%)",2021,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,0.1,0.1 [0 - 0.8]
1026,HWF_0023,Traditional and Complementary Medicine Professionals  (number),2010,,,712121.0,712 121
1027,SDGWSHBOD,Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2),2019,SEX,SEX_BTSX,36.4,36.4
1028,NCD_BMI_PLUS1C,"Prevalence of overweight among children and adolescents, BMI > +1 standard deviations above the median (crude estimate) (%)",1995,SEX,SEX_FMLE,1.16291,1.2 [0.9-1.5]
1029,WHOSIS_000015,Life expectancy at age 60 (years),2019,SEX,SEX_FMLE,19.44399,19.4 [19.3-19.6]
1030,NUTRITION_WH_3,"Severe wasted prevalence among children under 5 years of age   (% weight-for-height <-3 SD), survey-based estimates",2006,SEX,SEX_MLE,8.0,8.0 [6.7-9.6]
1031,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), by beverage type",2011,ALCOHOLTYPE,ALCOHOLTYPE_SA_TOTAL,2.89924,2.9
1032,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),1996,SEX,SEX_FMLE,73.39216,73.4 [70.6-76.3]
1033,P7_pubs,National smoking ban in PUBS AND BARS,2022,,,0.0,No
1034,NCD_CHOL_MEANNONHDL_A,"Mean Non-HDL cholesterol, age-standardized",2006,SEX,SEX_MLE,3.4,3.4 [3.3-3.5]
1035,WHOSIS_000016,Mortality rate among children ages 5 to 9 years (per 1000 children aged 5),2014,SEX,SEX_FMLE,3.23932,3.2 [3.0-3.5]
1036,NCD_BMI_PLUS2C,"Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (crude estimate) (%)",2012,SEX,SEX_FMLE,1.09485,1.1 [0.9-1.3]
1037,NCD_GLUC_03,Raised fasting blood glucose (>= 7.0 mmol/L) (crude estimate),1989,SEX,SEX_BTSX,4.3,4.3 [2.9-6.1]
1038,NCD_CHOL_MEANTOTALCHOL_C,"Mean total cholesterol,  crude",2008,SEX,SEX_BTSX,4.4,4.4 [4.3-4.4]
1039,O_Bup_sold,Bupropion - legally sold,2014,,,0.0,Yes
1040,MORT_300,Distribution of causes of death among children aged < 5 years (%),2012,AGEGROUP,AGEGROUP_MONTHS1-59,0.0,0
1041,NUTRITION_ANT_WHZ_NE2,"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",1992,SEX,SEX_FMLE,2.9,2.9 [2.3-3.6]
1042,NCD_BMI_MINUS2C,"Prevalence of thinness among children and adolescents, BMI < -2 standard deviations below the median (crude estimate) (%)",2020,SEX,SEX_MLE,24.93597,24.9 [22.0-27.9]
1043,W21_emissions_quant_C,Smokeless tobacco packaging and labelling must not display quantitative information on emission yields (such as tar nicotine and carbon monoxide) including when used as part of a brand name or trademark,2022,,,0.0,No
1045,CM_02,Number of infant deaths,2016,SEX,SEX_BTSX,855650.0,855 650 [810 464-900 923]
1046,M_Est_tob_curr_std,Estimate of current tobacco use prevalence (%) (age-standardized rate),2022,SEX,SEX_MLE,37.8,37.8 [29.9-45.6]
1047,MORT_100,Number of deaths,2010,SEX,SEX_BTSX,0.0,0.0
1048,NUTRITION_ANT_WHZ_NE2,"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",2015,SEX,SEX_MLE,1.6,1.6 [1.3-2.0]
1049,MORT_100,Number of deaths,2000,SEX,SEX_BTSX,471918.301,471918.301
1050,NUTRITION_ANT_HAZ_NE2,"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",2006,SEX,SEX_MLE,46.8,46.8 [44.2-49.4]
1052,NUTRITION_WH_3,"Severe wasted prevalence among children under 5 years of age   (% weight-for-height <-3 SD), survey-based estimates",2017,AGEGROUP,AGEGROUP_MONTHS0-5,11.2,11.2
1053,P3_universities,National smoking ban in UNIVERSITIES,2008,,,0.0,Yes
1054,SDGSUICIDE,Crude suicide rates (per 100 000 population),2017,SEX,SEX_MLE,13.4309,13.4 [9.3-16.6]
1055,ROTAC,Rotavirus vaccines completed dose (RotaC) immunization coverage among 1-year-olds (%),2021,,,83.0,83
1056,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), by beverage type",2014,ALCOHOLTYPE,ALCOHOLTYPE_SA_BEER,0.19912,0.2
1057,CM_04,Number of deaths among children ages 5 to 9 years,2011,SEX,SEX_BTSX,120484.0,120 484 [114 746-127 982]
1058,MORT_100,Number of deaths,2016,SEX,SEX_BTSX,83772.45344,83772.45344
1059,MORT_100,Number of deaths,2014,SEX,SEX_BTSX,34415.22846,34415.22846
1060,NUTRITION_ANT_HAZ_NE2,"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",2017,AGEGROUP,AGEGROUP_MONTHS36-47,41.2,41.2
1061,MORT_300,Distribution of causes of death among children aged < 5 years (%),2011,AGEGROUP,AGEGROUP_YEARS0-4,0.07173,0.1
1062,MCV2,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%),2017,,,80.0,80
1063,MORT_100,Number of deaths,2003,SEX,SEX_BTSX,0.0,0.0
1064,NUTRITION_ANT_HAZ_NE2,"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",1997,,,45.9,45.9
1065,Camp_mat_tested,Campaign was pre-tested,2010,,,0.0,Yes
1066,HWF_0013,Dental Prosthetic Technicians (number),2020,,,3176.0,3176
1067,NCD_BMI_25C,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (crude estimate) (%)",2008,SEX,SEX_MLE,13.82637,13.8 [13.0-14.7]
1068,W12_imports_dutyfree_A,Health warnings on cigarette packaging law applys to products whether manufactured domestically imported AND for duty-free sale,2018,,,0.0,Yes
1069,NCD_CHOL_MEANHDL_A,"Mean HDL cholesterol, age-standardized",2001,SEX,SEX_MLE,1.0,1.0 [0.9-1.1]
1070,WSH_HYGIENE_BASIC,Population with basic handwashing facilities at home (%),2014,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,78.57044,79
1071,CM_01,Number of under-five deaths,1982,SEX,SEX_BTSX,3987371.0,3 987 371 [3 837 683-4 133 419]
1072,NUTSTUNTINGPREV,"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), model-based estimates",2016,,,37.3,37.3 [35.9-38.7]
1073,MORT_200,Deaths per 1 000 live births,2012,AGEGROUP,AGEGROUP_MONTHS1-59,1.01264,1
1074,MORT_300,Distribution of causes of death among children aged < 5 years (%),2000,AGEGROUP,AGEGROUP_MONTHS1-59,0.00042,0
1075,Yth_curr_cig_smoking,Prevalence of current cigarette smoking among adolescents (%),2019,SEX,SEX_MLE,3.5,3.5
1076,MORTADO,Adolescent mortality rate (per 1 000 age specific cohort),2017,SEX,SEX_BTSX,4.36649,4.4 [4.1-4.6]
1077,NCD_BMI_18C,"Prevalence of underweight among adults, BMI < 18 (crude estimate) (%)",2012,SEX,SEX_FMLE,23.58451,23.6 [22.3-24.9]
1078,MORT_300,Distribution of causes of death among children aged < 5 years (%),2003,AGEGROUP,AGEGROUP_YEARS0-4,0.00198,0
1079,MORT_300,Distribution of causes of death among children aged < 5 years (%),2005,AGEGROUP,AGEGROUP_DAYS0-27,0.14055,0.1
1080,NCD_CHOL_MEANTOTALCHOL_C,"Mean total cholesterol,  crude",1982,SEX,SEX_BTSX,4.3,4.3 [3.9-4.7]
1081,NCD_CHOL_MEANHDL_A,"Mean HDL cholesterol, age-standardized",2002,SEX,SEX_MLE,1.0,1.0 [0.9-1.1]
1082,NUTRITION_ANT_HAZ_NE2,"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",2020,SEX,SEX_FMLE,34.6,34.6 [34.2-35.1]
1083,MORT_100,Number of deaths,2019,SEX,SEX_BTSX,0.0,0.0
1084,HWF_0007,Nursing and midwifery personnel  (number),2018,,,2336204.0,2 336 204
1085,NCD_CCS_sulphonylurea,General availability of sulphonylurea(s) in the public health sector,2019,,,0.0,Yes
1086,Camp_gov_prog,Campaign was part of a comprehensive tobacco control programme,2022,,,0.0,Yes
1087,NCD_BMI_25A,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2007,SEX,SEX_BTSX,15.86221,15.9 [15.3-16.5]
1088,PHE_HHAIR_PROP_POP_CATEGORY_FUELS,"Proportion of population with primary reliance on fuels and technologies for cooking, by fuel type (%)",1995,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,38.9,38.9 [27.9 - 50.3]
1089,WHS4_128,Neonates protected at birth against neonatal tetanus (PAB) (%),2016,,,87.0,87
1090,PATIENTSAFETY_COREINDICATORRESPONSE,Patient safety core indicator survey response,2023,PATIENTSAFETY_SURVEYQUESTION,PATIENTSAFETY_SURVEYQUESTION_PS_ANNUALREPORT_PUBLISHED,0.0,Not initiated
1091,MDG_0000000003,Adolescent birth rate (per 1000 women),2015,SEX,SEX_FMLE,11.1,11.1
1092,SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average",2019,SEX,SEX_MLE,8.10305,8.1 [4.4 - 12.1]
1093,SA_0000001739,"Alcohol, heavy episodic drinking (15+) past 30 days (%), age-standardized",2003,SEX,SEX_MLE,14.24956,14.2 [13.0 - 15.5]
1094,MALARIA_SUSPECTS,Number of suspected malaria cases,2016,,,144539608.0,144 539 608
1095,WSH_SANITATION_BASIC,Population using at least basic sanitation services (%),2010,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,42.70832,43
1096,MORT_100,Number of deaths,2018,SEX,SEX_BTSX,119093.7819,119093.7819
1097,NCD_CHOL_MEANHDL_C,"Mean HDL cholesterol, crude",2013,SEX,SEX_BTSX,1.0,1.0 [1.0-1.0]
1098,FINPROTECTION_IMP_P190_POP,"Population pushed further below the $1.90 a day poverty line by household health expenditures (%, national, rural, urban)",2006,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,30.16,30.16
1099,P6_restaurants,National smoking ban in RESTAURANTS,2007,,,0.0,No
1100,HWF_0023,Traditional and Complementary Medicine Professionals  (number),2016,,,771468.0,771 468
1101,WHOSIS_000001,Life expectancy at birth (years),2000,SEX,SEX_FMLE,64.28813,64.3 [63.8-65.0]
1102,MORT_200,Deaths per 1 000 live births,2011,AGEGROUP,AGEGROUP_DAYS0-27,4.10674,4.1
1103,MORT_100,Number of deaths,2012,SEX,SEX_BTSX,40310.0644,40310.0644
1104,WSH_SANITATION_OD,Population practising open defecation (%),2012,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,38.73439,39
1105,NCD_CHOL_MEANHDL_A,"Mean HDL cholesterol, age-standardized",2017,SEX,SEX_FMLE,1.0,1.0 [1.0-1.1]
1106,NCD_CHOL_MEANNONHDL_C,"Mean Non-HDL cholesterol, crude",1998,SEX,SEX_BTSX,3.3,3.3 [3.2-3.4]
1107,NUTRITION_ANAEMIA_PREGNANT_NUM,Number of pregnant women (aged 15-49 years) with anaemia (thousands),2006,SEVERITY,SEVERITY_TOTAL,9190.0,9190 [8400-9760]
1108,NCD_GLUC_01,Mean fasting blood glucose (mmol/l) (age-standardized estimate),2013,SEX,SEX_FMLE,5.33836,5.34 [4.57-6.07]
1109,NCD_BMI_PLUS1C,"Prevalence of overweight among children and adolescents, BMI > +1 standard deviations above the median (crude estimate) (%)",1999,SEX,SEX_MLE,1.53082,1.5 [1.2-1.9]
1110,P2_education,National smoking ban in EDUCATIONAL FACILITIES EXCEPT UNIVERSITIES,2007,,,0.0,Yes
1111,NUTRITION_WH_3,"Severe wasted prevalence among children under 5 years of age   (% weight-for-height <-3 SD), survey-based estimates",2015,AGEGROUP,AGEGROUP_MONTHS36-59,5.6,5.6 [5.4-5.8]
1112,NCD_BMI_PLUS2C,"Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (crude estimate) (%)",2013,SEX,SEX_FMLE,1.18255,1.2 [1.0-1.4]
1113,GHED_CHEGDP_SHA2011,Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%),2000,,,4.03,4.03
1114,O_Avail_community,Treatment for tobacco dependence available in the community,2020,,,0.0,Yes in some
1115,M_Est_tob_curr,Estimate of current tobacco use prevalence (%),2025,SEX,SEX_BTSX,21.8,21.8 [16.8-26.9]
1116,MORT_200,Deaths per 1 000 live births,2002,AGEGROUP,AGEGROUP_YEARS0-4,4.36406,4.4
1117,WHS3_55,Congenital Rubella Syndrome - number of reported cases,2016,,,25.0,25
1118,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),1999,SEX,SEX_BTSX,68.39182,68.4 [65.8-71.1]
1119,PHE_HHAIR_POP_CATEGORY_FUELS,"Population with primary reliance on fuels and technologies for cooking, by fuel type (in millions)",2022,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,1.81022,1.81 [0 - 11.77]
1122,MORT_200,Deaths per 1 000 live births,2006,AGEGROUP,AGEGROUP_YEARS0-4,14.50138,14.5
1123,DEATHADO,Number of deaths among adolescents (10 to 19 years of age),2018,SEX,SEX_BTSX,176250.0,176 250 [164 031-189 062]
1124,FINPROTECTION_CATA_TOT_25_POP,"Population with household spending on health greater than 25% of total household budget (SDG 3.8.2, reported data) (%)",2001,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,3.06,3.06
1125,AIR_15,Household air pollution attributable DALYs,2019,SEX,SEX_FMLE,223705.3125,223 705 [125 239-315 395]
1126,NCD_CHOL_MEANNONHDL_C,"Mean Non-HDL cholesterol, crude",2016,SEX,SEX_BTSX,3.2,3.2 [3.1-3.3]
1127,MORT_300,Distribution of causes of death among children aged < 5 years (%),2001,AGEGROUP,AGEGROUP_DAYS0-27,0.00801,0
1128,TB_hivtest_pct,TB patients with known HIV status (%),2020,,,92.0,92
1129,NCD_BMI_MINUS2C,"Prevalence of thinness among children and adolescents, BMI < -2 standard deviations below the median (crude estimate) (%)",2017,SEX,SEX_MLE,27.66389,27.7 [25.7-29.6]
1130,NUTRITION_WH_2,"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",2020,EDUCATIONLEVEL,EDUCATIONLEVEL_EDUC_SECONDARY,18.4,18.4 [18.0-18.8]
1131,WSH_SANITATION_SAFELY_MANAGED,Population using safely managed sanitation services (%),2011,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,30.66057,31
1132,SA_0000001751,"Alcohol, average daily intake in grams among drinkers, three-year average",2013,SEX,SEX_MLE,44.21846,44.2 [22.5 - 65.9]
1133,WHS3_57,Rubella - number of reported cases,2023,,,2952.0,2952
1134,SA_0000001741,"Alcohol-attributable fractions (15+), liver cirrhosis deaths (%)",2019,SEX,SEX_MLE,59.05596,59.1 [36.1 - 72.2]
1135,NUTRITION_ANT_WHZ_NE2,"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",2020,SEX,SEX_FMLE,3.7,3.7 [3.3-4.2]
1136,NUTRITION_WH_2,"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",2015,SEX,SEX_FMLE,16.7,16.7 [16.2-17.3]
1137,MORT_100,Number of deaths,2002,SEX,SEX_BTSX,17571.50565,17571.50565
